Date,Open,High,Low,Close,Volume,RSI
2020-07-01,203.13999938964844,206.3500061035156,201.77000427246097,204.6999969482422,32061200,0.0
2020-07-02,205.67999267578125,208.02000427246097,205.0,206.2599945068359,29315800,0.0
2020-07-06,208.8300018310547,211.1300048828125,208.08999633789065,210.6999969482422,31897600,0.0
2020-07-07,210.4499969482422,214.6699981689453,207.9900054931641,208.25,33600700,0.0
2020-07-08,210.07000732421875,213.2599945068359,208.69000244140625,212.8300018310547,33600000,0.0
2020-07-09,216.3300018310547,216.3800048828125,211.47000122070312,214.32000732421875,33121700,0.0
2020-07-10,213.6199951171875,214.0800018310547,211.0800018310547,213.6699981689453,26177600,0.0
2020-07-13,214.47999572753903,215.8000030517578,206.5,207.07000732421875,38135600,0.0
2020-07-14,206.1300048828125,208.8500061035156,202.02999877929688,208.3500061035156,37591800,0.0
2020-07-15,209.55999755859375,211.3300018310547,205.02999877929688,208.0399932861328,32179400,0.0
2020-07-16,205.3999938964844,205.6999969482422,202.30999755859375,203.9199981689453,29940700,0.0
2020-07-17,204.47000122070312,205.0399932861328,201.38999938964844,202.8800048828125,31635300,0.0
2020-07-20,205.0,212.3000030517578,203.0099945068359,211.6000061035156,36884800,0.0
2020-07-21,213.66000366210935,213.94000244140625,208.02999877929688,208.75,37990400,53.05456855808937
2020-07-22,209.1999969482422,212.3000030517578,208.38999938964844,211.75,49605700,57.9387382323733
2020-07-23,207.19000244140625,210.9199981689453,202.1499938964844,202.5399932861328,67457000,43.11013699684597
2020-07-24,200.4199981689453,202.86000061035156,197.5099945068359,201.3000030517578,39827000,41.56762220592979
2020-07-27,201.47000122070312,203.97000122070312,200.86000061035156,203.8500061035156,30160900,45.857961657455064
2020-07-28,203.61000061035156,204.6999969482422,201.7400054931641,202.02000427246097,23251400,43.39545266104736
2020-07-29,202.5,204.6499938964844,202.0099945068359,204.05999755859375,19632600,46.82348453808073
2020-07-30,201.0,204.4600067138672,199.57000732421875,203.8999938964844,25079600,46.58518280431968
2020-07-31,204.3999938964844,205.1000061035156,199.0099945068359,205.0099945068359,51044000,48.541757356277294
2020-08-03,211.52000427246097,217.63999938964844,210.44000244140625,216.5399932861328,78983000,63.4984773333081
2020-08-04,214.1699981689453,214.77000427246097,210.30999755859375,213.2899932861328,49280100,58.35019335130505
2020-08-05,214.8999938964844,215.0,211.57000732421875,212.94000244140625,28806400,57.806649002967994
2020-08-06,212.33999633789065,216.3699951171875,211.5500030517578,216.3500061035156,32656800,61.56346369918629
2020-08-07,214.8500061035156,215.6999969482422,210.92999267578125,212.47999572753903,27820400,55.52148993494738
2020-08-10,211.6699981689453,211.8800048828125,206.3500061035156,208.25,36716500,49.77171462160784
2020-08-11,207.16000366210935,207.6499938964844,203.13999938964844,203.3800048828125,36446500,44.10824216658485
2020-08-12,205.2899932861328,210.27999877929688,204.75,209.19000244140625,28013100,51.23712677606369
2020-08-13,209.44000244140625,211.3500061035156,208.1499938964844,208.6999969482422,22588900,50.65035930567981
2020-08-14,208.7599945068359,209.58999633789065,207.5099945068359,208.8999938964844,17958900,50.89752701358102
